financebench_id,company,doc_name,question,gold_answer,pred_answer,correct,category,calculator_used,verified,retry_done
financebench_id_10420,AES Corporation,AES_2022_10K,"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",-0.02,-0.0153,False,numerical,False,False,False
financebench_id_06655,Amazon,AMAZON_2017_10K,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,93.86,259.41,False,numerical,False,True,False
financebench_id_08135,Amazon,AMAZON_2017_10K,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,30.8%,0.3080,False,numerical,True,False,False
financebench_id_08286,Amazon,AMAZON_2019_10K,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",$11588.00,"$11,588M",True,numerical,False,True,False
financebench_id_03882,Amcor,AMCOR_2020_10K,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,$1616.00,"$1,615.9M",True,numerical,False,True,False
financebench_id_01935,Amcor,AMCOR_2022_8K_dated-2022-07-01,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)","According to the AMCOR_2022_8K filing, Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc. entered into a Second Supplemental Indenture and a First Supplemental Indenture to govern the 3.625% Guaranteed Senior Notes due 2026 and the 4.500% Guaranteed Senior Notes due 2028, with respect",True,descriptive,False,False,False
financebench_id_00799,Amcor,AMCOR_2023_10K,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",The quick ratio has slightly improved from 0.67 times to 0.69 times between FY 2023 and FY 2022.(3.4% jump),"Amcor's quick ratio improved from 0.67 in FY2022 to 0.69 in FY2023, indicating an improvement in liquidity. (Source: Amcor | AMCOR_2023_10K | Type: balance)",True,descriptive,False,False,False
financebench_id_01079,Amcor,AMCOR_2023_10K,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?","Amcor completed these acquisitions during FY2023:
-100% equity interest of a flexibles manufacturing company in the Czech Republic
- 100% equity interest in a medical device packaging manufacturing site in
Shanghai, China.
-acquisition of a New Zealand-based leading manufacturer of state-of-the-art, automated protein
packaging machines.","Amcor completed two major acquisitions in FY2023 and FY2022, with the Shanghai acquisition valued at $60 million and the Czech Republic acquisition valued at $59 million, as stated in the Amcor 2023 10K.",True,descriptive,False,False,False
financebench_id_01148,Amcor,AMCOR_2023_10K,What industry does AMCOR primarily operate in?,Amcor is a global leader in packaging production for various use cases.,"Amcor primarily operates in the packaging industry, as indicated by its significant property, plant, and equipment, net of $3,762 million and $3,646 million in 2023 and 2022, respectively, and its large inventories, net, of $1,831.9 million and $1,953.8 million in 2020 and $992 million and $1,114 mi",False,descriptive,False,False,False
financebench_id_00684,Amcor,AMCOR_2023_10K,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",No. For AMCOR there has been a slight decline in gross margins by 0.8%.,"No
The company's gross margin decreased from 0.195 in FY2022 to 0.185 in FY2023.",False,yes_no,False,False,False
financebench_id_01936,Amcor,AMCOR_2023Q2_10Q,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,87% of the total restructuring liability is related Employee liabilities.,"The nature and purpose of AMCOR's restructuring liability as of Q2 of FY2023 close is related to employee costs, fixed asset-related costs, and other costs, with a liability balance of $93 million at December 31, 2022. This liability is a result of $118 million in restructuring costs at June 30, 202",False,descriptive,False,False,False
financebench_id_01928,Amcor,AMCOR_2023Q4_EARNINGS,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,"AMCOR's Adj. EBITDA was $2,018mn in FY 2023","According to the Amcor 2023 Q4 Earnings report, Amcor's Adjusted Non-GAAP EBITDA for FY 2023 was $2,080 million. This figure is also supported by the 2023 10K report.",True,descriptive,False,False,False
financebench_id_01930,Amcor,AMCOR_2023Q4_EARNINGS,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",The Real Growth was flat in FY 2023 vs FY 2022.,"The real change in sales for AMCOR in FY 2023 vs FY 2022, excluding the impact of FX movement, passthrough costs, and one-off items, was a decline of 5% for the total segment and 6% for the total company, as per the 2023Q4 earnings report.",True,descriptive,False,False,False
financebench_id_03069,AMD,AMD_2015_10K,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",4.2%,0.0418,False,numerical,True,False,False
financebench_id_00222,AMD,AMD_2022_10K,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","Yes. The quick ratio is 1.57, calculated as (cash and cash equivalents+Short term investments+Accounts receivable, net+receivables from related parties)/ (current liabilities).","no change)
Current assets = 15,019 (2022) = 15,019 (2022)
Inventory = 3,771 (2022) - 1,955 (2021) = 1,816 (2022) - 1,955 (2021) = -139 (2022) - 1,955 (2021) = -1,194 (2022) - 1,955 (2021) = -3,149 (2022) - 1,955 (2021) = -5,104 (2022) - 1,955 (2021)",False,yes_no,False,False,False
financebench_id_00995,AMD,AMD_2022_10K,What are the major products and services that AMD sells as of FY22?,"AMD sells server microprocessors (CPUs) and graphics processing units (GPUs), data processing units (DPUs), Field Programmable Gate Arrays (FPGAs), and Adaptive System-on-Chip (SoC) products for data centers; CPUs, accelerated processing units (APUs) that integrate CPUs and GPUs, and chipsets for desktop and notebook personal computers; discrete GPUs, and semi-custom SoC products and development services; and embedded CPUs, GPUs, APUs, FPGAs, and Adaptive SoC products.","According to the AMD_2022_10K, AMD primarily offers server microprocessors (CPUs) and graphics processing units (GPUs), data processing units (DPUs), Field Programmable Gate Arrays (FPGAs), and Adaptive System-on-Chip (SoC) products for data centers, as well as CPUs, APU, chipsets, discrete GPUs, se",False,descriptive,False,False,False
financebench_id_01198,AMD,AMD_2022_10K,What drove revenue change as of the FY22 for AMD?,"In 2022, AMD reported Higher sales of their EPYC server processors, higher semi-custom product sales, and the inclusion of Xilinx embedded product sales","The revenue change as of FY22 for AMD was driven by a 64% increase in Data Center segment revenue, a 21% increase in Gaming segment revenue, and a significant increase in Embedded segment revenue, resulting in a net revenue of $23.6 billion, an increase of 44% compared to 2021 net revenue of $16.4 b",False,descriptive,False,False,False
financebench_id_00917,AMD,AMD_2022_10K,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.",The decrease in AMD's operating income was primarily driven by amortization of intangible assets associated with the Xilinx acquisition,"The operating income for AMD decreased by $2.3 billion from 2015 to 2022, primarily due to amortization of intangible assets associated with the",False,descriptive,False,False,False
financebench_id_01279,AMD,AMD_2022_10K,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?","In 2022, AMD brought in the most cashflow from Operations","According to the AMD_2022_10K cash flow statement, operating activities brought in $3,565 million in cash flow, the most among all activities. This is a significant increase from the $1,071 million in cash flow from operating activities in FY20.",True,descriptive,False,False,False
financebench_id_00563,AMD,AMD_2022_10K,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",Data Center,"According to the AMD_2022_10K income statement, excluding Embedded, Gaming segment revenue increased by 21% in FY22 compared to FY21, the highest proportionate increase among the segments. This is in contrast to a 64% increase in Data Center segment revenue.",False,descriptive,False,False,False
financebench_id_00757,AMD,AMD_2022_10K,Did AMD report customer concentration in FY22?,"Yes, one customer accounted for 16% of consolidated net revenue","Yes
AMD reported a customer concentration of 16% in FY22.",True,yes_no,False,False,False
financebench_id_00476,American Express,AMERICANEXPRESS_2022_10K,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,There are none,"American Express' short-term investment securities, which include restricted investments of $54 million and securities purchased under resale agreements of $318 million, are not explicitly stated to be registered to trade on a national securities exchange as of 2022. However, they are reported as pa",False,descriptive,False,False,False
financebench_id_01028,American Express,AMERICANEXPRESS_2022_10K,What are the geographies that American Express primarily operates in as of 2022?,"United States, EMEA, APAC, and LACC","American Express primarily operates in the United States, EMEA, APAC, LACC, and Other Unallocated regions, with the United States accounting for the largest share of revenue at $41,396 million. (Source: American Express | AMERICANEXPRESS_2022_10K)",False,descriptive,False,False,False
financebench_id_00723,American Express,AMERICANEXPRESS_2022_10K,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",Performance is not measured through operating margin,"To determine if American Express has an improving operating margin profile as of 2022, we need to look at the company's pretax income and total revenues net of interest expense after provisions for credit losses. The pretax income increased from $4,296 million in 2020 to $10,689 million in 2021, and then decreased to $9,585 million in 2022. However, the total revenues net of interest expense after provisions for credit losses increased from $31,357 million in 2020 to $43,799 million in 2021, and then to $50,680 million in 2022.
Operating margin is a useful metric for a company like American Express, as it provides insight into the company's ability to generate profits from its revenues. The operating margin can be calculated by dividing the pretax income by the total revenues net of interest expense after provisions for credit losses.
The operating margin for American Express in 2022 was 18.8% ($9,585 million / $50,680 million), which is lower than the 24.6% in 2021 ($10,689 million / $43,799 million) and 13.7% in 2020 ($4,296 million /",False,descriptive,False,False,False
financebench_id_00720,American Express,AMERICANEXPRESS_2022_10K,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.",Performance is not measured through gross margin,"The provided evidence does not allow us to determine the driver of gross margin change for American Express as of FY2022, but total expenses increased by $7,985 million or 24% from 2021 to 2022, while total revenues net of interest expense increased by $10,482 million or 25% (Source: American Expres",False,descriptive,False,False,False
financebench_id_01351,American Express,AMERICANEXPRESS_2022_10K,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,The effective tax rate for American Express has changed/dropped from 24.6% in FY 2021 to 21.6% in FY 2022.,The effective tax rate of American Express decreased by 3 percentage points from 24.6% in FY2021 to 21.6% in FY2022. This is based on the American Express 2022 10K report.,False,descriptive,False,False,False
financebench_id_01964,American Express,AMERICANEXPRESS_2022_10K,What was the largest liability in American Express's Balance Sheet in 2022?,Customer deposits,"The largest liability in American Express's Balance Sheet in 2022 was customer deposits, totaling $110,239 million, as reported in the AMERICANEXPRESS_2022_10K.",False,descriptive,False,False,False
financebench_id_01981,American Express,AMERICANEXPRESS_2022_10K,Was American Express able to retain card members during 2022?,Yes,"Yes
Card Member retention rate remained high in 2022.",False,yes_no,False,False,False
financebench_id_05718,American Water Works,AMERICANWATERWORKS_2020_10K,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,$0.40,3487,False,numerical,True,False,False
financebench_id_04254,American Water Works,AMERICANWATERWORKS_2021_10K,"Basing your judgments off of the cash flow statement and the income statement, what is American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) in USD millions?",$1832.00,"$1,899M",True,numerical,False,True,False
financebench_id_00070,American Water Works,AMERICANWATERWORKS_2022_10K,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.","No, American Water Works had negative working capital of -$1561M in FY 2022.","No
American Water Works has a working capital of $1,250 million, which is less than 5% of its total assets.",False,yes_no,False,False,False
financebench_id_02608,Best Buy,BESTBUY_2017_10K,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.",2.8%,3.87%,False,numerical,False,True,True
financebench_id_04417,Best Buy,BESTBUY_2019_10K,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,$5409.00,"$5,409M",True,numerical,False,True,False
financebench_id_00685,Best Buy,BESTBUY_2023_10K,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.","No
Gross Margin is not consistent, with a 1.1% year-over-year decrease from 2022 to 2023.",True,yes_no,False,False,False
financebench_id_01077,Best Buy,BESTBUY_2023_10K,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired all outstanding shares of these two companies during FY 2022: (1) Current Health Ltd and (2) Two Peaks, LLC d/b/a Yardbird Furniture","Best Buy made two major acquisitions in FY2022, acquiring Current Health Ltd. for $389 million and Two Peaks, LLC d/b/a Yardbird Furniture for $79 million, both in 2021. (Source: BESTBUY_2023_10K)",False,descriptive,False,False,False
financebench_id_01275,Best Buy,BESTBUY_2023_10K,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?",Best Buy generated the most cash flow from operating activities in FY 2023 ($1.8 bn),"According to the BESTBUY_2023_10K cash flow statement, operating activities brought in the most cash flow for Best Buy in FY2023 with $1,824 million, significantly more than the $962 million used in investing activities.",True,descriptive,False,False,False
financebench_id_00288,Best Buy,BESTBUY_2024Q2_10Q,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,"Yes, there was a decline of ~42% between FY2023 and Q2 of FY 2024.","Yes. There was a drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024, by 2.12%.",False,yes_no,False,False,False
financebench_id_00460,Best Buy,BESTBUY_2024Q2_10Q,Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?,"Yes, there is decline in number stores by 1.32% from 982 stores in Q2 FY 2023 to 969 by the end of Q2 FY2024.",Yes. The number of Best Buy stores increased by 5 between Q2 of FY2024 and FY2023.,False,yes_no,False,False,False
financebench_id_01902,Best Buy,BESTBUY_2024Q2_10Q,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,"The entertainment segment experienced the highest growth of 9% during Q2 FY2024, primarily from gaming division.","According to the Best Buy FY2024 Q2 10Q income statement, the Services category performed the best in the domestic market during Q2 of FY2024 with a 7.6% comparable sales growth, driven by the cumulative growth in the paid membership base. Source: BESTBUY_2024Q2_10Q.",False,descriptive,False,False,False
financebench_id_04660,Block,BLOCK_2016_10K,"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",1.73,1.7342,True,numerical,True,False,False
financebench_id_03838,Block,BLOCK_2020_10K,What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.,101.5%,1.0150,False,numerical,True,True,True
financebench_id_07661,Block,BLOCK_2020_10K,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",$382.00,"$381,603",False,numerical,False,True,False
financebench_id_10285,Boeing,BOEING_2018_10K,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",$12645.00,"$12,645M",True,numerical,False,True,False
financebench_id_00517,Boeing,BOEING_2022_10K,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,"Yes. Boeing has product and service categories that represent more than 20% of Boeing's revenue for FY2022. These categories are Commercial Airplanes which comprises 39% of total revenue, Defence which comprises 35% of total revenue and Services which comprises 26% of total revenue.","Need to compute: Percentage of revenue for each product/service category

Numerator = 25,867 (Commercial Airplanes revenue)
Denominator = 66,608 (Total revenues)

Calculation: (25,867 / 66,608) * 100 ",False,yes_no,False,False,False
financebench_id_01091,Boeing,BOEING_2022_10K,Has Boeing reported any materially important ongoing legal battles from FY2022?,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines crash.,No,False,yes_no,False,False,False
financebench_id_00678,Boeing,BOEING_2022_10K,"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.","Yes. Boeing has an improving gross margin profile as of FY2022. Gross profit improved from $3,017 million in FY2021 to $3,502 million in FY2022. Gross margin % improved from 4.8% in FY2021 to 5.3% in FY2022.","No
Boeing's gross margin is 5.25% in FY2022.",False,yes_no,False,False,False
financebench_id_01290,Boeing,BOEING_2022_10K,Who are the primary customers of Boeing as of FY2022?,Boeing's primary customers as of FY2022 are a limited number of commercial airlines and the US government. The US government accounted for 40% of Boeing's total revenues in FY2022.,"According to the Boeing_2022_10K, the primary customers of Boeing as of FY2022 are commercial airlines and government agencies, with revenues of $25,867 million and $23,162 million respectively, from the Commercial Airplanes and Defense, Space & Security segments. (Source: Boeing | BOEING_2022_10K |",True,descriptive,False,False,False
financebench_id_00464,Boeing,BOEING_2022_10K,Is Boeing's business subject to cyclicality?,"Yes, Boeing's business is subject to cyclicality due to its exposure to the airline industry which is a cyclical industry.","Yes
Boeing's revenue growth rate of 6.8% indicates that its business is subject to cyclicality.",False,yes_no,False,False,False
financebench_id_00494,Boeing,BOEING_2022_10K,What production rate changes is Boeing forecasting for FY2023?,"Boeing forecasts an increase in the production rates for the 737, 777X and 787 aircrafts in 2023.","Boeing is forecasting a production rate of 5 per month for the 787 program in 2023, and production of the 777X is expected to resume in 2023, with the 737 program to increase production rates based on market demand and supply chain capacity, as stated in the Boeing 2022 10K.",False,descriptive,False,False,False
financebench_id_00585,Boeing,BOEING_2022_10K,How does Boeing's effective tax rate in FY2022 compare to FY2021?,"Effective tax rate in FY2022 was 0.62%, compared to  -14.76% in FY2021.","Boeing's effective tax rate in FY2022 was 0.62%, compared to a tax benefit of -14.7% in FY2021, according to the Boeing_2022_10K Consolidated Statements of Operations.",True,descriptive,False,False,False
financebench_id_03473,Coca-Cola,COCACOLA_2017_10K,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,0.01,0.0839,False,numerical,True,False,False
financebench_id_09724,Coca-Cola,COCACOLA_2021_10K,What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,39.7%,0.3973,False,numerical,True,False,False
financebench_id_06272,Coca-Cola,COCACOLA_2022_10K,What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.,0.8,$0,False,numerical,False,False,False
financebench_id_10130,Corning,CORNING_2020_10K,"Based on the information provided primarily in the balance sheet and the statement of income, what is FY2020 days payable outstanding (DPO) for Corning? DPO is defined as: 365 * (average accounts payable between FY2019 and FY2020) / (FY2020 COGS + change in inventory between FY2019 and FY2020). Round your answer to two decimal places.",63.86,63.8634,True,numerical,True,False,False
financebench_id_02981,Corning,CORNING_2021_10K,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.",10.3%,"2,216.33",False,numerical,True,True,True
financebench_id_01346,Corning,CORNING_2022_10K,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,The effective tax rate of Corning has changed from 20% in FY2021 to 23% in FY 2022.,"The effective tax rate of Corning increased by approximately 4% between FY2021 and FY2020, from 21.7% to 25.7%, according to the CORNING_2021_10K.",False,descriptive,False,False,False
financebench_id_00005,Corning,CORNING_2022_10K,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",Yes. Corning had a positive working capital amount of $831 million by FY 2022 close. This answer considers only operating current assets and current liabilities that were clearly shown in the balance sheet.,"Yes
Corning has positive working capital based on FY2022 data, with a working capital ratio of 1.44.",False,yes_no,False,False,False
financebench_id_04209,Costco,COSTCO_2021_10K,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.",$59268.00,"$59,268M",True,numerical,False,True,False
financebench_id_05915,CVS Health,CVSHEALTH_2018_10K,What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,17.98,17.9824,True,numerical,True,False,False
financebench_id_00790,CVS Health,CVSHEALTH_2022_10K,Is CVS Health a capital-intensive business based on FY2022 data?,"Yes, CVS Health requires an extensive asset base to operate, which is evident from its ROA of only 1.82% in 2022 and 3.39% in 2021, though it should be noted that a significant portion of this asset base is goodwill, and CVS's fixed assets/total assets ratio is on the lower side of 5.6%.","No
CVS Health is not a capital-intensive business based on FY2022 data, with a capital intensity ratio of 0.707.",False,yes_no,False,False,False
financebench_id_01107,CVS Health,CVSHEALTH_2022_10K,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?","Yes, CVS Health has been involved in multiple ongoing legal battles. Some notable legal dispute areas for CVS are: (1) usual and customary pricing litigation: where it's claimed that CVSâs retail pharmacies overcharged for prescription drugs; (2) PBM litigation and investigations: where it's claimed that that rebate agreements between the drug manufacturers and PBMs caused inflated prices for certain drug products; and (3) controlled substances litigation: legal matters around opioids for which CVS has agreed to pay up to $4.3 billion to claimants in remediation and $625 million to attorneys and fees","No
The operating margin is not improving, as it is below 1.0.",False,yes_no,False,False,False
